tag_id,taggable_id,taggable_type
24,151,App\Politician
6,152,App\Politician
59,152,App\Politician
24,152,App\Politician
6,153,App\Politician
47,153,App\Politician
24,153,App\Politician
1,154,App\Politician
39,154,App\Politician
24,154,App\Politician
6,155,App\Politician
35,155,App\Politician
24,155,App\Politician
6,156,App\Politician
58,156,App\Politician
24,156,App\Politician
1,157,App\Politician
43,157,App\Politician
24,157,App\Politician
1,158,App\Politician
19,158,App\Politician
24,158,App\Politician
6,159,App\Politician
38,159,App\Politician
24,159,App\Politician
6,160,App\Politician
39,160,App\Politician
24,160,App\Politician
6,161,App\Politician
35,161,App\Politician
24,161,App\Politician
6,162,App\Politician
42,162,App\Politician
24,162,App\Politician
1,163,App\Politician
49,163,App\Politician
4,163,App\Politician
1,164,App\Politician
19,164,App\Politician
4,164,App\Politician
1,165,App\Politician
43,165,App\Politician
4,165,App\Politician
1,166,App\Politician
47,166,App\Politician
24,166,App\Politician
6,167,App\Politician
43,167,App\Politician
24,167,App\Politician
6,168,App\Politician
12,168,App\Politician
24,168,App\Politician
6,169,App\Politician
40,169,App\Politician
4,169,App\Politician
1,170,App\Politician
18,170,App\Politician
24,170,App\Politician
6,171,App\Politician
47,171,App\Politician
4,171,App\Politician
6,172,App\Politician
38,172,App\Politician
24,172,App\Politician
6,173,App\Politician
51,173,App\Politician
4,173,App\Politician
6,174,App\Politician
60,174,App\Politician
4,174,App\Politician
1,175,App\Politician
56,175,App\Politician
4,175,App\Politician
1,176,App\Politician
35,176,App\Politician
24,176,App\Politician
1,177,App\Politician
34,177,App\Politician
24,177,App\Politician
1,178,App\Politician
50,178,App\Politician
24,178,App\Politician
6,179,App\Politician
61,179,App\Politician
4,179,App\Politician
1,180,App\Politician
30,180,App\Politician
24,180,App\Politician
6,181,App\Politician
61,181,App\Politician
4,181,App\Politician
6,182,App\Politician
53,182,App\Politician
24,182,App\Politician
1,183,App\Politician
19,183,App\Politician
24,183,App\Politician
6,184,App\Politician
32,184,App\Politician
4,184,App\Politician
1,185,App\Politician
39,185,App\Politician
24,185,App\Politician
1,186,App\Politician
55,186,App\Politician
24,186,App\Politician
1,187,App\Politician
3,187,App\Politician
24,187,App\Politician
6,188,App\Politician
10,188,App\Politician
24,188,App\Politician
6,189,App\Politician
25,189,App\Politician
24,189,App\Politician
6,190,App\Politician
48,190,App\Politician
4,190,App\Politician
6,191,App\Politician
9,191,App\Politician
24,191,App\Politician
1,192,App\Politician
33,192,App\Politician
24,192,App\Politician
1,193,App\Politician
39,193,App\Politician
24,193,App\Politician
6,194,App\Politician
9,194,App\Politician
24,194,App\Politician
6,195,App\Politician
51,195,App\Politician
24,195,App\Politician
6,196,App\Politician
9,196,App\Politician
4,196,App\Politician
6,197,App\Politician
52,197,App\Politician
4,197,App\Politician
1,198,App\Politician
13,198,App\Politician
24,198,App\Politician
1,199,App\Politician
39,199,App\Politician
24,199,App\Politician
1,200,App\Politician
33,200,App\Politician
24,200,App\Politician
1,201,App\Politician
33,201,App\Politician
24,201,App\Politician
6,202,App\Politician
9,202,App\Politician
24,202,App\Politician
1,203,App\Politician
9,203,App\Politician
24,203,App\Politician
6,204,App\Politician
39,204,App\Politician
24,204,App\Politician
1,205,App\Politician
22,205,App\Politician
24,205,App\Politician
1,206,App\Politician
10,206,App\Politician
24,206,App\Politician
1,207,App\Politician
3,207,App\Politician
24,207,App\Politician
1,208,App\Politician
34,208,App\Politician
24,208,App\Politician
1,209,App\Politician
57,209,App\Politician
24,209,App\Politician
1,210,App\Politician
22,210,App\Politician
4,210,App\Politician
6,211,App\Politician
34,211,App\Politician
4,211,App\Politician
1,212,App\Politician
47,212,App\Politician
24,212,App\Politician
1,213,App\Politician
23,213,App\Politician
24,213,App\Politician
1,214,App\Politician
60,214,App\Politician
24,214,App\Politician
6,215,App\Politician
23,215,App\Politician
4,215,App\Politician
6,216,App\Politician
42,216,App\Politician
24,216,App\Politician
6,217,App\Politician
31,217,App\Politician
24,217,App\Politician
1,218,App\Politician
25,218,App\Politician
24,218,App\Politician
6,219,App\Politician
23,219,App\Politician
24,219,App\Politician
1,220,App\Politician
39,220,App\Politician
24,220,App\Politician
1,221,App\Politician
22,221,App\Politician
24,221,App\Politician
6,222,App\Politician
9,222,App\Politician
24,222,App\Politician
1,223,App\Politician
43,223,App\Politician
24,223,App\Politician
1,224,App\Politician
26,224,App\Politician
24,224,App\Politician
1,225,App\Politician
35,225,App\Politician
24,225,App\Politician
6,226,App\Politician
52,226,App\Politician
24,226,App\Politician
6,227,App\Politician
20,227,App\Politician
24,227,App\Politician
1,228,App\Politician
43,228,App\Politician
4,228,App\Politician
1,229,App\Politician
22,229,App\Politician
24,229,App\Politician
1,230,App\Politician
9,230,App\Politician
24,230,App\Politician
6,231,App\Politician
3,231,App\Politician
24,231,App\Politician
6,232,App\Politician
40,232,App\Politician
24,232,App\Politician
6,233,App\Politician
39,233,App\Politician
24,233,App\Politician
6,234,App\Politician
20,234,App\Politician
4,234,App\Politician
6,235,App\Politician
56,235,App\Politician
24,235,App\Politician
1,236,App\Politician
39,236,App\Politician
24,236,App\Politician
1,237,App\Politician
55,237,App\Politician
24,237,App\Politician
6,238,App\Politician
40,238,App\Politician
24,238,App\Politician
6,239,App\Politician
25,239,App\Politician
24,239,App\Politician
6,240,App\Politician
22,240,App\Politician
24,240,App\Politician
6,241,App\Politician
10,241,App\Politician
24,241,App\Politician
6,242,App\Politician
13,242,App\Politician
24,242,App\Politician
6,243,App\Politician
53,243,App\Politician
24,243,App\Politician
1,244,App\Politician
39,244,App\Politician
24,244,App\Politician
1,245,App\Politician
10,245,App\Politician
24,245,App\Politician
1,246,App\Politician
39,246,App\Politician
24,246,App\Politician
1,247,App\Politician
37,247,App\Politician
4,247,App\Politician
1,248,App\Politician
50,248,App\Politician
24,248,App\Politician
6,249,App\Politician
25,249,App\Politician
24,249,App\Politician
6,250,App\Politician
40,250,App\Politician
24,250,App\Politician
1,251,App\Politician
44,251,App\Politician
24,251,App\Politician
1,252,App\Politician
31,252,App\Politician
24,252,App\Politician
1,253,App\Politician
55,253,App\Politician
24,253,App\Politician
1,254,App\Politician
57,254,App\Politician
24,254,App\Politician
6,255,App\Politician
10,255,App\Politician
24,255,App\Politician
1,256,App\Politician
49,256,App\Politician
24,256,App\Politician
1,257,App\Politician
35,257,App\Politician
24,257,App\Politician
1,258,App\Politician
57,258,App\Politician
4,258,App\Politician
1,259,App\Politician
9,259,App\Politician
24,259,App\Politician
6,260,App\Politician
15,260,App\Politician
4,260,App\Politician
6,261,App\Politician
39,261,App\Politician
24,261,App\Politician
1,262,App\Politician
56,262,App\Politician
4,262,App\Politician
1,263,App\Politician
22,263,App\Politician
24,263,App\Politician
6,264,App\Politician
39,264,App\Politician
24,264,App\Politician
6,265,App\Politician
34,265,App\Politician
24,265,App\Politician
1,266,App\Politician
50,266,App\Politician
4,266,App\Politician
6,267,App\Politician
18,267,App\Politician
4,267,App\Politician
6,268,App\Politician
25,268,App\Politician
24,268,App\Politician
1,269,App\Politician
39,269,App\Politician
24,269,App\Politician
1,270,App\Politician
34,270,App\Politician
24,270,App\Politician
6,271,App\Politician
10,271,App\Politician
24,271,App\Politician
6,272,App\Politician
38,272,App\Politician
4,272,App\Politician
1,273,App\Politician
30,273,App\Politician
24,273,App\Politician
6,274,App\Politician
13,274,App\Politician
24,274,App\Politician
6,275,App\Politician
22,275,App\Politician
24,275,App\Politician
6,276,App\Politician
25,276,App\Politician
24,276,App\Politician
6,277,App\Politician
34,277,App\Politician
24,277,App\Politician
1,278,App\Politician
47,278,App\Politician
4,278,App\Politician
1,279,App\Politician
22,279,App\Politician
24,279,App\Politician
1,280,App\Politician
12,280,App\Politician
24,280,App\Politician
1,281,App\Politician
10,281,App\Politician
24,281,App\Politician
