tag,taggable_id,taggable_type
US Representative,287,politician
Democratic Party,288,politician
Washington,288,politician
US Representative,288,politician
Republican Party,289,politician
Montana,289,politician
Senator,289,politician
Republican Party,290,politician
Illinois,290,politician
US Representative,290,politician
Democratic Party,291,politician
Maryland,291,politician
US Representative,291,politician
Republican Party,292,politician
Florida,292,politician
US Representative,292,politician
Democratic Party,293,politician
Illinois,293,politician
Senator,293,politician
Democratic Party,294,politician
California,294,politician
US Representative,294,politician
Democratic Party,295,politician
Michigan,295,politician
US Representative,295,politician
Republican Party,296,politician
New York,296,politician
US Representative,296,politician
Republican Party,297,politician
Ohio,297,politician
US Representative,297,politician
Democratic Party,298,politician
Florida,298,politician
US Representative,298,politician
Republican Party,299,politician
Florida,299,politician
US Representative,299,politician
Democratic Party,300,politician
Texas,300,politician
US Representative,300,politician
Republican Party,301,politician
Michigan,301,politician
US Representative,301,politician
Republican Party,302,politician
Missouri,302,politician
US Representative,302,politician
Democratic Party,303,politician
New York,303,politician
US Representative,303,politician
Republican Party,304,politician
Pennsylvania,304,politician
US Representative,304,politician
Republican Party,305,politician
Nevada,305,politician
Senator,305,politician
Democratic Party,306,politician
California,306,politician
US Representative,306,politician
Democratic Party,307,politician
North Carolina,307,politician
US Representative,307,politician
Republican Party,308,politician
Alabama,308,politician
US Representative,308,politician
Republican Party,309,politician
Wyoming,309,politician
Senator,309,politician
Democratic Party,310,politician
Illinois,310,politician
US Representative,310,politician
Democratic Party,311,politician
Minnesota,311,politician
US Representative,311,politician
Democratic Party,312,politician
Indiana,312,politician
US Representative,312,politician
Democratic Party,313,politician
Maryland,313,politician
US Representative,313,politician
Republican Party,314,politician
North Carolina,314,politician
US Representative,314,politician
Democratic Party,315,politician
Connecticut,315,politician
US Representative,315,politician
Republican Party,316,politician
Minnesota,316,politician
US Representative,316,politician
Republican Party,317,politician
Iowa,317,politician
Senator,317,politician
Democratic Party,318,politician
Pennsylvania,318,politician
US Representative,318,politician
Democratic Party,319,politician
New York,319,politician
US Representative,319,politician
Democratic Party,320,politician
California,320,politician
US Representative,320,politician
Democratic Party,321,politician
Pennsylvania,321,politician
US Representative,321,politician
Democratic Party,322,politician
Wisconsin,322,politician
Senator,322,politician
Democratic Party,323,politician
California,323,politician
Senator,323,politician
Democratic Party,324,politician
California,324,politician
US Representative,324,politician
Democratic Party,325,politician
Massachusetts,325,politician
US Representative,325,politician
Republican Party,326,politician
New Jersey,326,politician
US Representative,326,politician
Republican Party,327,politician
New York,327,politician
US Representative,327,politician
Republican Party,328,politician
New Jersey,328,politician
US Representative,328,politician
Republican Party,329,politician
Arizona,329,politician
Senator,329,politician
Republican Party,330,politician
Virginia,330,politician
US Representative,330,politician
Republican Party,331,politician
Florida,331,politician
US Representative,331,politician
Republican Party,332,politician
Arizona,332,politician
US Representative,332,politician
Republican Party,333,politician
Nebraska,333,politician
US Representative,333,politician
Republican Party,334,politician
North Carolina,334,politician
US Representative,334,politician
Republican Party,335,politician
Pennsylvania,335,politician
US Representative,335,politician
Republican Party,336,politician
Oklahoma,336,politician
US Representative,336,politician
Democratic Party,337,politician
Illinois,337,politician
US Representative,337,politician
Democratic Party,338,politician
Ohio,338,politician
US Representative,338,politician
Republican Party,339,politician
Louisiana,339,politician
US Representative,339,politician
Democratic Party,340,politician
Minnesota,340,politician
Senator,340,politician
Republican Party,341,politician
Tennessee,341,politician
US Representative,341,politician
Republican Party,342,politician
Tennessee,342,politician
US Representative,342,politician
Republican Party,343,politician
Texas,343,politician
US Representative,343,politician
Republican Party,344,politician
Texas,344,politician
US Representative,344,politician
Democratic Party,345,politician
Florida,345,politician
US Representative,345,politician
Republican Party,346,politician
Nebraska,346,politician
Senator,346,politician
Republican Party,347,politician
New York,347,politician
US Representative,347,politician
Republican Party,348,politician
