legal_name,last_name,first_name,temp,tags,flip_background,flop_background
Vern  Buchanan,Buchanan,Vern,Vern Buchanan,"Republican Party, Florida, US Representative",vern_buchanan_red.png,vern_buchanan_blue.png
John A. Barrasso,Barrasso,John A.,John A. Barrasso,"Republican Party, Wyoming, Senator",john_barrasso_red.png,john_barrasso_blue.png
Paul C. Broun,Broun,Paul C.,Paul C. Broun,"Republican Party, Georgia, US Representative",paul_broun_red.png,paul_broun_blue.png
John A. Boccieri,Boccieri,John A.,John A. Boccieri,"Democratic Party, Ohio, US Representative",john_boccieri_red.png,john_boccieri_blue.png
Bobby  Bright,Bright,Bobby,Bobby Bright,"Democratic Party, Alabama, US Representative",bobby_bright_red.png,bobby_bright_blue.png
Mark  Begich,Begich,Mark,Mark Begich,"Democratic Party, Alaska, Senator",mark_begich_red.png,mark_begich_blue.png
Roland  Burris,Burris,Roland,Roland Burris,"Democratic Party, Illinois, Senator",roland_burris_red.png,roland_burris_blue.png
Michael F. Bennet,Bennet,Michael F.,Michael F. Bennet,"Democratic Party, Colorado, Senator",michael_bennet_red.png,michael_bennet_blue.png
Scott  Brown,Brown,Scott,Scott Brown,"Republican Party, Massachusetts, Senator",scott_brown_red.png,scott_brown_blue.png
Lou  Barletta,Barletta,Lou,Lou Barletta,"Republican Party, Pennsylvania, US Representative",lou_barletta_red.png,lou_barletta_blue.png
Karen  Bass,Bass,Karen,Karen Bass,"Democratic Party, California, US Representative",karen_bass_red.png,karen_bass_blue.png
Dan  Benishek,Benishek,Dan,Dan Benishek,"Republican Party, Michigan, US Representative",dan_benishek_red.png,dan_benishek_blue.png
Rick  Berg,Berg,Rick,Rick Berg,"Republican Party, North Dakota, US Representative",rick_berg_red.png,rick_berg_blue.png
Diane  Black,Black,Diane,Diane Black,"Republican Party, Tennessee, US Representative",diane_black_red.png,diane_black_blue.png
Mo  Brooks,Brooks,Mo,Mo Brooks,"Republican Party, Alabama, US Representative",mo_brooks_red.png,mo_brooks_blue.png
